,Commit message,Class
323,updated command updatetest refactored,extract
324,add support delay expire,extract
325,add set option nbt utility,extract
326,testcase fix bit code cleanup change id ic c dca ca e aaf e ed,extract
327,fix encode list send via api request describe previously translate list special type indexed object send api via request patch correct behavior add significant clean encode utility add additional testing well guarantee everything work,extract
328,fix optional protocol dialog refactored code,extract
329,add zone getrotationangle fix add example test also,extract
330,code cleanup patch sean bright,extract
331,modelcontext getdefaultlanguage add,extract
332,sc esilco add damage product report,extract
333,willie thean laf change add ability specify proxy http download change default logging info,extract
334,added support parametrized log similar slf j api sign manish kumar,extract
335,add flipping,extract
336,path create separate function way initialize context related stuff like example way transforms handle,extract
337,documentation refactoring,extract
338,expand beanshellprocessor beanshelldeciderule every jvm friendly scripting language javascript jython groovy jruby beanshellprocessor java scriptedprocessor java beanshelldeciderule java scripteddeciderule java update use present jsr script engine request free text name update allow script come inline string file seed module pom xml include groovy jsr capable jar classpath add new jar classpath beanshellprocessortest java scriptedprocessortest java rename empty test class,extract
339,validate queue parameter batch enqueueing per job list thus refactored validation method small decide inlining validatearguments method since sure whether line design principle author library,extract
340,add getallowedlanguages string spacename,extract
341,add actionmapper plan make action package protect,extract
342,jcbc add trace subdoc api changeset add span trace subdoc api alongside relate change previous commits change id ab f cd ba c ec dafed review http review couchbase org test build bot review david nault,extract
343,fix bug add check mailx wsdl j package cluster creation,extract
344,lib add method saxtransformer pas callback function setup transformer,extract
345,add lwc history allow view history item player everyone dynamic argument allow use player name page name anywhere lwc history lwc history hidendra lwc history hidendra lwc history lwc history hidendra valid work later work hand hand lwc detail,extract
346,refactor error handle exception report site without circular class reference git svn id svn svn jbidwatcher com jbidwatcher trunk b acfa eb db b cd b e,extract
347,pull string match stuff parser ad tokenqueue reuse selector parser add som text correct behaviour parser,extract
348,address http github com tomp p tomp p issue,extract
349,pr minstall add test case add test remove installartifactstub java git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
350,total refactoring village type autonomous subscription inertia,extract
351,update accurev plugin remove non recommende advance setting include reftree usage remove workspace usage use port name call add display depot stream clean ui allow user build change particular directory,extract
352,code cleanup activity,extract
353,ngrinder add runtime controller annotation change scuprtconsole runtimeonly controller,extract
354,refactored check hidden private method prepare shift jpa portletpreferences,extract
355,added support set content id payload id ebxml attachment via jms,extract
356,refactored,extract
357,wellsfargo external id add concept link transformer able transform consumerdb notation external link parseable lily link,extract
358,rule use violation specific value message specifically variablename methodname classname packagename minor tweak javaruleviolation report variable name astvariabledeclarator field add java optimization ruleset rule redundantfieldinitializer submit lucian ciufudean git svn id http pmd svn sourceforge net svnroot pmd trunk baf c fc e,extract
359,add additional javadoc usage add method return default value zero parse fails bump version,extract
360,add isportalinterior hide interior material,extract
361,added test case bidirectional,extract
362,enable good guice error message miss bind create moe http github com google moe moe migrate revid,extract
363,simple refactoring code create column duplicate unnecessarily git svn id svn svn jbidwatcher com jbidwatcher trunk b acfa eb db b cd b e,extract
364,first huge step refactoring jbidwatcher use guice instead wildly connected set singleton,extract
365,srl http add session factory stateful server,extract
366,add mdr write break send device probably need associated x section git svn id http svn mkgmap org uk mkgmap branch index f ee dfeeeb,extract
367,added ability validatorresults validatorresult object return validation method associate result status git svn id http svn apache org repos asf jakarta common proper validator trunk f bb ffa edef,extract
368,huge refactoring make prestoresolver,extract
369,new feature branch allow custom listener create erxstatisticsstore listener use notify external monitoring system e g statsd graphite request handling slow,extract
370,refactor build management fix xcode scan build work alongside release configuration,extract
371,add api action interface,extract
372,merge revision via svnmerge http svn parabola uk svn mkgmap branch lang r steve fri nov line allow charset target r steve sit nov line allow make upper case optional r steve sun nov line make transliteration acsii mode table drive r steve sun nov line add miss blank character translit map r steve sun nov line build change need character table r steve tue nov line russian transliteration provide user liosha git svn id http svn mkgmap org uk mkgmap trunk f ee dfeeeb,extract
373,logtool create new producer annotation allow function bifunction create exception return,extract
374,add unit test refactor pushcommand,extract
375,module add ability run specific class give module,extract
376,change add clarity fix low zoom render git svn id http svn mkgmap org uk mkgmap trunk f ee dfeeeb,extract
377,add secondary table support cassandra ds client,extract
378,hama add system yarn git svn id http svn apache org repos asf incubator hama trunk f bb ffa edef,extract
379,fix meclipse maven eclipse plugin create wrong org eclipse wst common project facet core xml ear project javaee javaee api use git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
380,refactored fitfixtureexception restfixture fix bug handle j expression,extract
381,fix window size bug download sit editor add ability download beta module crosswire,extract
382,change way upgrade work dbopenhelper onupgrade method final override new method call onupgradedatabase update copyright add method get table name column name sqlhelper class,extract
383,support allow add seeds recovery journal like uri data point crawl via action directory support case million seed abstractfrontier java move sourcetagseeds set seedmodule trigger schedule seed via seedmodule announcement seedlistener protocol statisticstracker java implement seedlistener use processedseedrecords list seed processoruri java defaultprocessoruri java geturi convenience accessor plain uri string surtprefixeddeciderule java use seed prefix via seedlistener notification rather separate scan seed source text seedlistener java simplify notification new seed nonseed text mixed seed surt directive seedmodule java method seedlistener interface announceseeds acton file textseedmodule java eliminate interators add method announce seed scan seed text source include arbitrary file prefixset java surtprefixset java derive concurrentskiplistset eliminate unneeded extra synchronization clone offer considerasdirective direct application directive string,extract
384,add general info field,extract
385,added create itemdeliveryoptions mvc,extract
386,add method need hudson translation plugin,extract
387,refactor code put current distro manager default plugin,extract
388,nxbt add method trial registration,extract
389,oozie refactor class launcher jar oozie sharelib rkanter git svn id http svn apache org repos asf oozie trunk f bb ffa edef,extract
390,refactoring add partitioningscheme,extract
391,add support disable rout unpaved road ferry route default way consider paved ferry route add mkgmap unpaved yes true way declare unpaved way rout gps set avoid unpaved road similarly tag way mkgmap ferry yes true cause ignore routing purpose gps set avoid ferry route git svn id http svn mkgmap org uk mkgmap trunk f ee dfeeeb,extract
392,add removeoobmessages,extract
393,additional fix bug https bug eclipse org bug show bug cgi id add api abstractrsaclientservice simplify creation provider change id eeaf de eb ad c f,extract
394,added test class encoder improvement elementutils class many improvement add setter encoders class,extract
395,add support outputs functionality refactor clean,extract
396,tp move version check handlesinglemessage handlemessagebatch receive tp implement receive inputstream receive byte http issue jboss org browse jgrp baseserver discard length byte receiver callback instal tcpconnection create intermediate buffer pass input stream directly receive callback gossiprouter routerstub implement receive callback pubclient pubserver implement receive callback roundtrip receive never use correct offset read data,extract
397,keep parser line wycats handlebars emulate refactor perform https github com wycats handlebar js commit eee c f e bc de fe help simplify porting future change wycats handlebar,extract
398,expands modified flag entity aspect node change serializer take consideration modify flags entity aspect clean serializer code add junit test perform network test test exist serialization tree,extract
399,refactoring statusprinter,extract
400,add method stub comment,extract
401,additional unit test,extract
402,pr mpir replace requiresdependencyresolution manual resolution listener pass create dependency tree git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
403,clean example add comment javadoc add example,extract
404,add value params support fieldparamspostprocessor,extract
405,integrate nrepl add new repl view refactoring editor source viewer simplify launch process,extract
406,added documentation subroutine refactored buffer local variable bit refactored subroutine handle strategy,extract
407,icycanvas add new synchronization view method canvas severals fix improvement roi improve roi display canvas minor fix improvement,extract
408,add parameter requesteddate create updatesubscription call,extract
409,add atom support,extract
410,remove primitivevaluetype merge functionality valuetype multivalue hierarchy flag remove listvaluetype pathvaluetype create instead listvaluetype pathvaluetype possible give extra typeparams valuetype put list path git svn id svn ssh dev outerthought org outerthought lilyproject branch complextypes b f e bd e dc,extract
411,facebookclient move add app token possible appsecret proof method add optional computation hash pom xml add explicit dependency common codec hex encode hash byte array,extract
412,implement sticky option pm implement sticky option pm allows option stick pm use across different thread previous implementation use threadlocal option valid thread scope new implementation give control set option make sticky global scope thread scope refactored unit test centralize aws property file,extract
413,add validation minimum support tool version coveritypublisher checkconfig,extract
414,resolve test failure add test http jira duraspace org browse duracloud,extract
415,add support share local list add disabled binding similar wotextfield,extract
416,artif support interact artificer ejb split service logic atom resource,extract
417,added support include excludes filter configuration,extract
418,add servicesview extension point support future support http bug eclipse org bug show bug cgi id change id cbe dfaa b ab e c f,extract
419,add change avoid delete problem,extract
420,add cachedthreadstatesgaugeset,extract
421,refactoring gipps krauss newell model parameter dt take directly simulation update timestep fix one simulation,extract
422,add global preference page stub include wsil browser support schemaimportdialog fixed new file wizard unable edit file name,extract
423,version fix appropriate jangaroo facet detection add facet packaging type jangaroo compile goal call explicitly jangaroo facet war module contain jangaroo code longer need copy transitive jangaroo dependency already contain war overlay git p depot path coremedia jangaroo change,extract
424,jdbc add batch insertion jdbc client binding,extract
425,add filter build age,extract
426,extract file handle method listener new filechooser class modularized reader add support plug fileview module next revision modularize writer translator might wish wait update string git svn id http lateralgm svn sourceforge net svnroot lateralgm lateralgm trunk f f bc e cd,extract
427,work add forcemode method ensure refresh pnode add dummy pnode layer putmodelayer avoid npes mappingcomponent yet listen layer,extract
428,bit refactoring add depend multiverse core,extract
429,add test demo bug ignore bid zero quantity,extract
430,added ability restrict test require provider support cancel connect httpclient provider support urlconnection provider specify whether filetransfer test expect cancel connect test specify follow system property org eclipse ecf test filetransfer cancelsupportedonconnect e g dorg eclipse ecf test filetransfer cancelsupportedonconnect false assume cancel connect support default true cancel connect expect support,extract
431,refactor dialog code,extract
432,added mote test clientcanvas,extract
433,add httpclientconnection httpserverconnection,extract
434,add basic configuration validation ui,extract
435,add unit test verifies charset multipart use,extract
436,added support postfix expression albeit via statementexpression node git svn id http pmd svn sourceforge net svnroot pmd trunk baf c fc e,extract
437,remove unused method reduce duplicated code add loadaaacproblem string method handle load problem rather method identical save one character git svn id http www evllabs com svn jgaap trunk bcaee e b e c f fc,extract
438,support create ordinary index currently frontbase mysql support use default index name none provide erxmigrationtable addindex adduniqueindex,extract
439,add entitymanagerimpl persist collection objcoll main advantage persist object obj single batch mutation use performance,extract
440,comment simplift component paint function let add new feature need go code become comprehensible add dot square box around thumbnail icon look slick imo,extract
441,add test implement time limitation,extract
442,jcbc add trace counter motivation changeset add trace counter operation change id ff e f ac f e review http review couchbase org test build bot review david nault,extract
443,minstall add installatend option multimodule project git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
444,added feature drop entity refactoring bug fix,extract
445,cleanup abstractnode,extract
446,mwar request enhancement pattern match packagingincludes packagingexcludes functionality regular expression submit nicolas marcotte review dennis lundberg minor adjustment code style add page site example git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
447,initial historics implementation add onstatus event bump version,extract
448,fix disk failure step happy path fix clone template node node fail disk fixed step poweroff node step createreplacementvm step chef bootstrap step bad node change include implement clusterhealservice fix cluster error start disk failure implement disk failure handle job accord step record system disk table disk plus besides data swap disk update createvmsp attach exist vmdks create add disk vmdk path,extract
449,qr code fix gui camera file management relate stuff takephotothread add possibility get late raw image avoid stretch image scale aspect ratio mismatch fileutils fix logic temporary file creator avoid add temp marker multiple time qr code highlight qr code preview load object green red use default material gui qr code webcam add support load qr code webcam gui camera ask reload camera qr code location laser job finish gui camera combine deactivate camera camera ignore already bit confusing original version qr code gui fix issue gui lock remove permanent ui element camera projector automatically turn make sense still reachable view menu qr code gui implement edit gui lock qr code edit progress,extract
450,test add gettranslation exists,extract
451,implement srt expansion table letter sort two letter case sequence store srt previously hardwired quite possibly inconsistent table place add sort rule arabic git svn id http svn mkgmap org uk mkgmap trunk f ee dfeeeb,extract
452,biserver reorganize parameter processing prd report viewer report viewer longer process parameter locally everything get pass blindly server parameter xml source configuration gwt application get gwt side longer use raw dom tree configure everything use doms cumbersome easy mess real object model exist accept new xml structure generate content generator clean load misalign anonymous inner class never good use inner class still rely else streak achieve small class parameter names url encode user outside english language space tend use native character set everything include url component instead hardcoding error text color let use stylesheet server side add proper gwt client support pass client property parameter system output target use instead output type output target redefine user declare parameter name output target paginate parameter longer treat specially pagination mode activate html pageable output target select autosubmit autosubmitui layout part master report object report hide split monolithic contentgenerator separate class deal exactly one request type separation concern cool various inner class could static top level class output target select default xactions html stream content generator html page stag handler configuration do via master report addition exist url system default setting stag mode set memory temp file disable forcebufferedwriting mode html export aware stag current implementation cause extra memory consumption output type could stream user ie except bufferd html open point parameter attribute pass client side namespace aware yet date parameter handling must still fix broken time timestamp type bi server,extract
453,change command handle print command usage string clean plugin yml usage help look awful bring back bad message format red torn tim add warn console try use player command match start name warzone instead exact name work continue work,extract
454,add generator ztl scala totally complete,extract
455,added implementation graphicsconfiguration graphicsdevice,extract
456,latency measurement add stormdsttuplestorage without bdb,extract
457,implement alternatingbundler removequeuebundler http issue jboss org browse jgrp add drainto method ringbuffer attribute jmxadditionalobjects set,extract
458,added unit test,extract
459,added test buildstepoperation,extract
460,cve integrate fallback sort rest add test fix bug bucket boundary calculation git svn id http svn apache org repos asf common proper compress trunk f bb ffa edef,extract
461,add javadoc,extract
462,fix hudson add notifier perforce label upon completion build,extract
463,refactored statistic record api,extract
464,jcbc dns srv workaround ipv nameserver motivation bootstrap class use bootstrap sdk dns srv record rely default host machine dns resolution case dns server list configure host machine include ipv entry whole initialization break way use different resolution process modification additional overload bootstrap add accepts nameserver ip ipv use dns prefix direct name resolution instead attempt compile list name server os bootstrap test amend use feature rely google public dns result bootstrap test pas even machine ipv name server configure os configuration work around provide explicit name server address need change id c aa c ed e f b b review http review couchbase org review simon baslé test simon baslé,extract
465,add mapdisplay getlocation x,extract
466,allow request params option override autopagingiterator normally pass params option list method invoice invoice list params option autopagingiterable patch add support also overridden autopagingiterator invoice invoice list autopagingiterable params option reason support custom params option subcollections unfortunately inherit option parent collection example lineitems invoice getlines autopagingiterable params option context try elegant solution fail seem like easy option time possibility could something sophisticated later start consolidate interface fix,extract
467,refactored rdfrelation basic executionplan structure,extract
468,fix bug buddy list view add ability handle iq set event properly,extract
469,nxcm create documentroutingengineservice add test,extract
470,add support async post put content,extract
471,add diversion option gendreau scenario,extract
472,added example configurable fieldpopulators make work,extract
473,experimental incomplete add code collect city name zip code todo split interval zip code city house git svn id http svn mkgmap org uk mkgmap branch housenumbers f ee dfeeeb,extract
474,arq refactored test lifecycle handle use event base approach chain use precedence instead single entry point,extract
475,fix major bug custom event add command reload config config default apply save,extract
476,multiple caret support auto indent refactoring,extract
477,add intforkeywithdefault,extract
478,added extraartifacts remove souts simplify getinitalgoals know thing seem impossible,extract
479,rework wampmessage serialization add binary message use message pack,extract
480,add statement,extract
481,add trim also trim nbsp,extract
482,rework thetvdbprovider small method break jumbo method thetvdbprovider manageable chunk add utility class generic xpath parse add utility function stringutils turn string integer move constant constant java prepared work language english add ability prefer regular episode number dvd number though use yet use object safe improve error message method signature prefer interface list implementation arraylist add comment constant java,extract
483,cleanup html report mostly cosmetic consistency minor javadoc update code cleanup,extract
484,fix transcript start inaccurate line refactored pdf generation ref,extract
485,clearcase plugin add option set time window merge change log entry git svn id http hudson dev java net svn hudson trunk hudson plugins c de ed b c,extract
486,splashscreen dynamically fetch image file fix minor issue lut gui event metadatautil time interval field automatically calculate timestamp possible add getpositionx z gettimeposition method vtkcanvas good channel initialization fix crash,extract
487,hopefully last big exception refactorings go place add context error object make sure never double specifing injection point key multiple time new error nice line parameter field link binding hopefully make easy follow stacktraces additional context bind origin module could add later desire currently module specific source creationexceptions plain old binding source elsewhere end result message look like com google inject provisionexception guice provision error error inject constructor java lang unsupportedoperationexception com google inject provisionexceptiontest reald provisionexceptiontest java bind com google inject provisionexceptiontest reald class provisionexceptiontest java bind com google inject provisionexceptiontest class provisionexceptiontest java error git svn id http google guice googlecode com svn trunk f b b b aecad e,extract
488,added checkstyle extension rule start cleanup format document code base rule,extract
489,add support ssl tl upgrade exist netsocket,extract
490,add parameter migrate create subscription call,extract
491,fix typed property relationships added test,extract
492,fix hyperloglog builder improvement can not make constructor builder match hyperloglog without risk behavior change downstream also default constructor either add one could contentious therefore added static method somewhat go expect builder pattern though hyperloglog builder really follow anyway one set closer supplier additionally would little silly also implement non static method since code would look exactly lastly builder performs eager validation rsd log lead extra validation call live,extract
493,add text cache element partiallist textual content return pronto add whitespace handle element java,extract
494,added support class tag persistence xml,extract
495,run truth subject test j cl change include expectfailure implement wrap interface testrule allow gwt swap add basesubjecttestcase class subjec test extend setup expectfailure ensure failure catch add small build rule similar gentestrules j cl test migrate two subject test start prove concept relnotes n create moe http github com google moe moe migrate revid,extract
496,refactored audio scrobbler class reduce method length,extract
497,additional fix url detection,extract
498,jenkins add small test suite hudson remoting engine initialization,extract
499,add new option allowdnsreverselookup restrictor check default hostname determine might cause reverse dns lookup order avoid e g restriction hostname configuration property set false backwards compatibility set true change false jolokia,extract
500,add watch option main program,extract
501,add chunk encode response http server,extract
502,z add support multiple ensemble,extract
503,add xml returnformat,extract
504,wip add support unlock notify,extract
505,minvoker provide way install extra dependency add support relocation root artifact git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
506,added namenextelement feature,extract
507,add method read graph stream,extract
508,cluster fix refactorization git svn id http bg upf edu svn gitools desktop trunk b f e b ddf,extract
509,refactor extract write send method,extract
510,add support explicit accesstype type,extract
511,start refactoring roadmodels create spatialregistry encapsulate positional information relate road user,extract
512,add common parameter load code simulation load method cli args db,extract
513,add local variable stackframes agent available,extract
514,vandang ashok sush use repository delete couchdb document instead service add integration test add log message,extract
515,refactor xmppchatclient generality simplicity,extract
516,rhbz rhbz squash commit zanata init command http github com zanata zanata client pull commit ab cefde b cc ecd e b df author patrick huang date thu aug rhbz handle exist src dir commit dea e c bd c db e eea author patrick huang date thu aug rhbz check server compatible init command commit fe f e c c f f author patrick huang date tue aug message change commit b bd c fc b b c e author patrick huang date tue aug change message template match prompt commit dd bc c author patrick huang date tue aug fix exception type test commit cc b c e fc b c c ff e author patrick huang date tue jul change copyright year message commit ec adde e dbec aa f c author patrick huang date tue jul improve message commit f bd ab f e de fee cbd author patrick huang date tue jul remove unique project id prompt commit b cbddc dbc e f cbf f author patrick huang date tue jul rhbz handle server url user config commit cec f ff ba bb f e author patrick huang date tue jul refactoring commit c f f fa df author patrick huang date tue jul rhbz rename method static import commit f e f fb de dd bdc f ebc b c author patrick huang date tue jul rhbz refactoring commit e ad fa e b b b author patrick huang date mon jul rhbz extract method userconfighandler commit baa eab dc ebbf db author patrick huang date mon jul rhbz refactor project source trans prompt commit cdf efc baeac c author patrick huang date mon jul add copyright file commit ed ab bca baa da c bf author patrick huang date mon jul rhbz extract method projectconfighandler commit ddda afaee f e ea author patrick huang date mon jul rhbz extract method initcommand commit c dbf b ef ab b c c cc author patrick huang date mon jul remove updatechecker production code pending story rfe commit fa af e ad bd ccbf c b c f b author patrick huang date mon jul rhbz miss resource key log error commit e f f f f f ec author patrick huang date mon jul rhbz rename method optionmismatchchecker commit c ebebd bc deb b ee author patrick huang date mon jul rhbz rename class mode displaymode commit ac cb bff c c b f e c author patrick huang date mon jul rhbz rename class commit bb c bfc f da df bae cb author patrick huang date mon jul rhbz refactor initcommand extract method etc commit f f e e cb f e eb e ef author patrick huang date mon jul rhbz refactor class expect user input commit db f dcb e de b e ade author patrick huang date thu jul rhbz add color output change message commit f c f fc c b ee author patrick huang date wed jul rhbz able filter project long list commit fa fee e b acd aa f author patrick huang date fri jul rhbz check key availability resource bundle commit ffe b de author patrick huang date wed jul rhbz check new version client available commit fe e e cb fc e fa cf b c daf author patrick huang date thu jul rhbz externalize string property file commit e e b ebfebc e b eb author patrick huang date tue jul rhbz add init zanataclient commit c c b c b fa b c add dcc f author patrick huang date tue jul rhbz fix minor issue print next suggestion user commit e f f b f cba f f author patrick huang date tue jul rhbz refactor clean code commit f f c ced b author patrick huang date tue jul rhbz refactor extract project version prompt separate class commit caf c f b e ff bdf ce author patrick huang date tue jul rhbz refactor extract project config handle separate class commit f b f eb ed c f fede edc author patrick huang date mon jun rhbz refactor extract separate class commit f f dc e cca author patrick huang date mon jun rhbz refactor test mock server commit c b ec e fc bdc author patrick huang date fri jun rhbz add init mojo maven goal commit f cc b ef f ba c ded c c author patrick huang date fri jun rhbz prompt user trans dir commit c da c e author patrick huang date fri jun rhbz use index number select project version commit cb b dfc baf e b ae dc author patrick huang date fri jun rhbz src dir include excludes prompt commit f e cb e f ff ac c fd author patrick huang date fri jun rhbz refactor zanataproxyfactory allow eager rest version call commit ec dd f e ddbc f c author patrick huang date thu jun rhbz add include excludes zanata config commit c da cc ec c b author patrick huang date thu jun rhbz pull include excludes project configuration commit b bd b b b ca author patrick huang date thu jun rhbz rhbz add src dir trans dir zanata config commit e ef e b c f ac author patrick huang date thu jun check potential wrong src dir podir project commit e edeb f cff author patrick huang date mon jun rhbz create init command commit c ebac da fd fc f c bbecdc e author patrick huang date wed jun add friendly message inform user server,extract
517,webui fix jfg pixel size control elements css file sessionpager sessiondatagrid back end time column sessiondatagrid remove use method service cause new conseption control add depricated service dtos use seletes yet sort metric table tree select link processing,extract
518,calculate absolute position incrementally prep work pagination light cleanup fix bug float nest float could cause out float position wrong place,extract
519,continued refactoring dels,extract
520,newtools add check native method support make method abstract non abstract,extract
521,update flow latency analysis stuff explicit report entry element sample latency currently add component sample separate processing latency need add connection bus sample e operate periodically added capability generate report synchronous asynchronous synchronous reduce sample latency round rather add full sample latnecy add difference need round,extract
522,refactoring,extract
523,add checkstyle,extract
524,add ability load default xml config file override,extract
525,introduce field level metadata change include added metadata immutable metadatabuilder api opt make concrete object builder fact record extend metadata get set method read write path support metadata field without metadata storage format stay bit prefix byte use indicate metadata serialization version time prescence metadata metadata see new class fieldflags document metadata support versioned mutable field matter save implementation time something probably little value read always decodes metadata would problem make loading metadata optional decode lazily add metadata binary record serialization go avro bump serialization version number,extract
526,code cleanup remove dead code remove unnecessary else block use stringbuilder datepathwithroot add lastmodifieddateforfileinframework variant localized resource,extract
527,refactoring replace deprecated treenode constructor treenodeservicetest,extract
528,ert send refactored bugfixed wrt return value badarg argument list,extract
529,refactored initial condition,extract
530,add epi report https www pivotaltracker com story show,extract
531,add type conversion constant optimize referencecache remove null check containerimpl getinstance add container hasbindingfor provide comparable functionality make key public git svn id http google guice googlecode com svn trunk f b b b aecad e,extract
532,reactoring pas unit test add new unit test heal session,extract
533,add basic support twist coordinate conversion exponential format fix autocode,extract
534,refactorings cleaner code,extract
535,view handle well fragment clear member leave https jira jboss org jira browse jgrp add manage operation clear frag table,extract
536,add new app filter group activity page,extract
537,fix bunch issue add metric use yammer metric,extract
538,menu contain menu item precusor gui add hide frequent overlay option view menu add outlier handle option view menu change jmenuitems jradiobuttonmenuitems necessairy functionality add actionlisteners menu item still missning plus skeleton performer method,extract
539,added transient property bookmetadata method bookmetadata setproperty allow set transient property merge swordmetadatalocator metadatalocator move swordconstants dir conf override metadatalocator add miss casesensitivekeys swordbookmetadata configentrytype add miss utf arabicpoints configentrytype,extract
540,improve documentation explain decode do refactor individual logic block fetch erattachment evaluate request legitimate method make code digestible well encapsulate,extract
541,refactor oauth workflow pas share secret rest soap class interface add new auth method authinterface class remove old method implement flickr auth oauth checktoken flickr auth oauth getaccesstoken oauth test work exist application,extract
542,fix bug instance generator use super interface get abstract method error add simple test case issue fix,extract
543,add lastchangedservicetest,extract
544,refactor auction load code construct new auctioninfo object every time,extract
545,add response handler fix bug workspace configuration processor would append context path,extract
546,add ability specify path cookie,extract
547,add visitor,extract
548,add prettyprint indent option,extract
549,add rule component dependency distribution,extract
550,katta ashish refactored subscriptionservice separate method separate action,extract
551,add several new feature e g sub field report output many,extract
552,jcbc implement rest n ql tutorial adapt dsl motivation continue work jcbc implement rest step n ql tutorial selectdslsmoketest add miss operator function dsl along way note step make use dml cover late modification add remain step tutorial smoke test groupbypath directly use identifier string form modify keypath distinction string constant key v identifier key explicit constant key xxxkeysvalues method add sum distinct function aggregatefunctions add datefunctions strtomillis datepartstr numberfunctions move round function stringfunctions low substr expression add x method convert statement sub method convert statement sub statement parenthesis path method construct path expression separate dot add arithmetic operator add subtract multiply divide add case mini dsl case case search expression eg case id b subid else end remove function class move xxxfunctions class function package mark various dsl class experimental yet public result except tutorial step dml use step cover selectdslsmoketest change id c beb de b c c c bf b review http review couchbase org test simon baslé review michael nitschinger,extract
553,set clear enctype invokeaction addition appendtoresponse form appendtoresponse fire case add erxwofileupload via update container inside form,extract
554,improve behavior connection errornous add jmx counter invalidate connection error,extract
555,wonder bunch fix cleanups etc stream utils include nio base file copying,extract
556,tfj add getretweetedby id long statusid page paging,extract
557,solve cyclic packaging dependency move context inner class conversioncontext model common correct buildin builtin request build method add,extract
558,make reconnection reliable allow change back time case jms exception jmsstreamdataprovider add test jmsstreamdataprovider add dependency mockito,extract
559,ngrinder develop test report page include server side ui add agent monitor chart,extract
560,new attribute add schema value unit observation date add vmlobservation generic observation element add observationtarget jaxb implementation improve json xml roundtrip test,extract
561,added date information change log line,extract
562,refactor lispminibuffer,extract
563,remove fielddata valuetypes createtypes add link link,extract
564,add api prevent replacement exist file copy,extract
565,add basic target pet functionality spawnmonster,extract
566,add accessor build shard dir,extract
567,add method allow request parameter,extract
568,enhanced tool palette composition functionality add morph activity gateway feature,extract
569,add overload remove user specify timestamps,extract
570,completes https jira duraspace org browse durachron add run completion option synctool ui,extract
571,create generic insertion operation unit test,extract
572,extract helper method separate class refactored towards compose method,extract
573,add basic support mixin argument expansion elipsis,extract
574,add unit test fix resolveparentref,extract
575,fredsa cleanup advice unpack goal bug,extract
576,implement refresh token additional validation entity use validation framework,extract
577,metric add configurable obfuscation jms header attribute property,extract
578,add uri parameter beyond expect extension add binding,extract
579,added ability set message every reward message send specific reward non zero addition fix follow bug itemfactory implement hashcode equal cause message system properly merge similar action,extract
580,add sort calendar txt calendar date txt entry service id write output add additional manipulation method servicedate initial entry genericmutabledaowrapper initial entry gtfsentitytransformstrategy support gtfs transformer new entity tranformation strategy,extract
581,nobug add compilation argument import support mfcu option enh compilation argument import add support execute command intercept compiler wrapper sometimes compilation failure cause entire process terminate early,extract
582,easy way generate link contract address graph,extract
583,number substitution candidate type zero type remove seem root type fix conversion plural form feature well property customisation check fix broken argument processing xml marshaller unit test schema enable add xmls add case xsd anytype improve line branch coverage update readme respect future release,extract
584,rewrote consumerloop bit narrow scope try catch around poll split dispatch method processevent ack return event flush rudimentary exception handle deal possibility handler throw exception currently log continue merry way postpone figure happen concrete case help inform design decision,extract
585,add tile copy fix render tile transparent,extract
586,nearly everything function split blockgenerator component part clarity change behavior use list helper reference holder,extract
587,cleanup lock key path work expect,extract
588,refactor marker resolution quick fix change id ibdcc cf cfbb fd c ba ce cfb c cb sign anton tanasenko,extract
589,add debug set stage configs store stage configuration debug mode mean pick start hydra core still read remotepipeline getproperties allow start stage ide setting configure repository,extract
590,minor addition lzfdecoder allow pass offset additional sanity check,extract
591,add support short syntax two type definition make sure rule inside else block least dummy expression like know new rule start b x resolution x resolution short form b x resolution continue b x resolution longer work expression name x resolution end clear mean one ot two rule use expreession name x resolution end one rule meant expression name x resolution end two rule course make sense expression complex term git svn id http svn mkgmap org uk mkgmap branch f ee dfeeeb,extract
592,base decoding change step editor minor refactoring filter,extract
593,rewrite substitution resolver use explicit immutable resolvesource immediate motivation fix commit couple exist test case break way seem relate order resolution resolve memoization need layer commit good solution cache cycle detection get rid yet mutable state previous setup use side effect base lookup table replacement value conceptually modify tree without actually modify unfortunately setup hacky hard reason apparently break case new setup actually create modified tree pass around explicitly instead inside resolvecontext commit resolvecontext still unfortunately mutable cache mutable table cycle marker theory could also replace simply modify tree main downside commit clean remain mutable state use java collection copy wholesale every mutation persistent functional data structure unknown performance impact though sane world config resolve bottleneck anyone production app detail commit resolve concern remove peekpath abstractconfigobject relocate resolvesource recursive resolution remove lookupsubst move configreference new hasdescendant method use debug trace grossly inefficient ever call full tree traversal new replacechild method inefficient due java collection could theory make efficient complexity relate always know parent node might replace walk replace ancestor chain todo subsequent commits fix fail test case can not replacechild descendant configconcatenation probably need able consider fix instead memoizing resolve result hash table continuously modify resolvesource recent result instead use cycle marker table change configreference cycle detector value,extract
