Commit message,Class
nxp refactor to use different type of queue moving dispatcher from queue manager to producer start impl cqueuemanager,push down
readablity and supportability improvements includng code comments renames and refactoring motivated by code review feedbacks,move
add generator ztl to scala it is not totally completed,extract
refactor extract create parser method,extract
extract the main bindingimpl factory implementation of providermethod into an abstract base class this is a prefactoring for moving multibinders into the core all the multibinder factories will share a lot in common with providermethods they are providerinstancebindings the providers implement providerwithextensions the usersuppliedprovider is a bit of a misnomer so we provide a standard implementation this also removes the providerlookups from every providermethod which were pretty much unneeded created by moe moe migrated revid ,pull up
added diversion option to gendreau scenario,extract
nxp cleanup use of coreinstance,inline
feature introduced modulevalidation with the following constraints avoiddotandjaronbundlecpconstraint checks if a bundle contains jars and unjared classes eclipsebundleshapeconstraint checks if a bundle requires to be unpacked and doesn t contain the manifest header eclipse bundleshape dir projectencodingconstraint checks if build encoding project build sourceencoding is equal to the eclipse project encoding encoding,push down
refactor to move mime type and file checking to one location fixes ,move
divide color class to three classes color interface rgbcolor class hsbcolor class remove colormode refactoring many sources,push down
rename getsourcestring getsourceasstring don t use parser,rename
make mongosplitter an abstract class move splitter implementations into subclasses,push down
rename oscjavatobytearrayconverter oscserializer,rename
exojcr digest auth redesigned,push down
o extracted a few methods to make method fit in printed pages no functional changesgit svn id f bb ffa edef ,extract
include rentals eomodel in eogen configuration refactor eos from the rentals model to use superclass methods where possible add ercoreuserinterface implementation to user entity and use this instead of the newly added appuser entity remove appuser entity from the movies model and delete the related migration,pull up
renamed collectioncontaining hasitem arraycontaining hasiteminarray,rename
minor refactoring necessary for the css stylable version of the ajax upload button to work,pull up
extract generic octal formatting method to simplify code and eliminate array copies change leading padding to zeroes as that is more compatible and required for posix git svn id f bb ffa edef ,extract
pulled out common code in my optimization tests into abstractoptimizationtest refactored fipplefactor and naf optimization tests to use abstractoptimizationtest,pull up
extract the readbinding method so that it can be publicly reusedfixes ,extract
jgrp multiplexer should execute getstate for all registered muxchannel under one flush phase simplify flush invocation for getstate,inline
renamed test methods to conform with test guidelines,rename
refactor error handling so that exceptions can be reported to my site without circular class references git svn id svn svn jbidwatcher com jbidwatcher trunk b acfa eb db b a a cd b e,extract
moving tests around nothing important,pull up
ngrinder support concurrent multiple test very little clean up,pull up
refactored the code to move the ssl handling to the session configuration instead of the service git svn id f bb ffa edef ,move
configuration updates and changes to add missing properties and such made mobspawn command say it failed if spawning actually fails renamed lavaslime to magmacube as per the community name for it updated the readme a bit,rename
refactoring ivory app classes to reduce code duplication,inline
changes to remote service api and additions to implementation,inline
extracted filechecker,extract
faces after invoking an actionurl the bridge remembers resources that were in the section of the portal page refactored to make it easier to backport to jsf based branches,move
move recordmanager back to interface,push down
pc optimization refactoring only unit tests missing it tests refactoring,inline
removed deprecated method getconfigserver,push down
support for creating ordinary indexes currently only frontbase and mysql are supported use default index name when none is provided in erxmigrationtable addindex adduniqueindex,extract
ashok aravind introduced valid state transitions and pushed logic from service to subscription module,push down
add writer output to epubprocessorsupport,extract
removed setters from responsedefinition and made corresponding additions to responsedefinitionbuilder,extract
addressed,extract
refactored abstractname messageidkind name and namecollector,pull up
finished moving the painting code into the renderers issue number obtained from submitted by reviewed by,move
 added labelfeature functionality to all bpmn elements that have labels,extract
workings on permissions extracted an interface from permissionprovider to allow multiple and eventually plugin level exchangable permission provider implementations refined permission lookup again so haspath will take into account asterisks which it wasn t doing possibly causing derplings rewrote the addpath algo to be a bit more effective,push down
renamed gettoplevelproject to getexecutionrootproject to avoid misleading top level which is a different notion from the notion used in getrootsite git svn id f bb ffa edef ,rename
changed sink and source drawing generalized line drawing,inline
insignificant cleanup ci skip,push down
z added support for multiple ensembles,extract
revised code for bitext extraction we now process each sentence separately to balance load among mappers equally also other fixes her and there,extract
vishal shruthi refactored transitions to use prompt builders instead of using node builders,inline
prepare nodecontext for nested lists support not all tests are working yet but the current refactor is dramatically simpler support for published ports which is how nested lists will work is forthcoming,inline
rewrite gui of terminalwindow move gui package to terminal gui added configdialog and a possibility to save settings reorganize sources optimize,move
wip cleanup,pull up
refactor test execution methods conflicts src tests cputests java,inline
add initial support for debug logs,extract
riak added a workaround to allow strong consistent scan transactions riak moved the utility function createresulthashmap to the utility class riakutils java riak added riak strong consistent scans bucket type property to riak properties file to set the fake bucket type name riak updated readme md with a guide on how to allow strong consistent scan transactions,move
path compilation issues tests moved to proper location,move
rename method configuremetricsreporters to configurereporters,rename
icons moved drag and drop interface updated dockables can now be dropped left or right of a single tab git svn id d d e b d d fefcacdf,inline
moved real code to hidden class made jgroups imp subclass added init,push down
all static methods removed from gremlinevaluator scriptengine implemented console and script exector moved to scriptengine all libraries are in the com tinkerpop gremlin compiler context package now,move
adding first pass of compile time guice also moving stuff to internal to make constructionproxy and reflection classes available there git svn id d f a b b b d aecad e,move
common jcopter wcet moved various dump options into own subgroup,move
add unit test and fix resolveparentref,extract
itoollocatorservice is now fully integrated into the preferencepage the user can now choose between the shipped binary and a user defined version moved the prefpage stuff to the new packages renamed the prefpages,rename
start to create new layout for the toolbargroupdodckstation new version in this purpose the main panel of an abstracttoolbardockstation is defined in the subclasses an no more abstracttoolbardockstation class itself,push down
add secondary index to search by parents improve hadoop fs ls by adding another secondary index to associate a parent path to a file path,extract
rename equality method for separation from java and consistency with the dart implemention,rename
cleaned up stackimpl and localsimpl by moving logic into typeutils,move
refactored selectorparser logic into linkedinselectorparser as first step to creating agnostic selector,push down
code inspection changes,inline
metrics improvements rename a few things and use static instance for dummymetrics as they are stateless,rename
application entirely reworked the sequence image operation band new sequence resize feature new c z t operations new color conversion feature general improvements better plugin error report better colormap preservation when switching from d to d canvas better icy to imagej roi conversion minors improvements here and there modified roi dpoint so it now intersects point and do not contains it more consistent with other roi fixed a minor bug in roi getbooleanmask method fixed a minor bug in roi d contains and roi d intersects methods others bugs fixes developer loader added methods to hide the progress bar added getmetadata file file method to retrieve the metadata of an image file added loadimage file file int z int t method to load a single image from multi image file added icybufferedimage copydata src int srcchannel int dstchannel to only copy data for a specified channel added exceltable component to display excel type table added abstract method getviewcomponent to icycanvas so we can always retrieve the display component in a canvas improvements on sequencepreviewpanel and sequencerangepreviewpanel components added icybufferedimageutil class general icybufferedimage tools added methods to sequenceutil class fixed cursor preservation on canvas d added maininterface getsequences string name to retrieve sequence by name fixed a bug in imagedataiterator added a command line option to remove splash screen lot of refactoring and source reorganisation check deprecations,pull up
wow just wow fixes correctly and cleanly rely on templates,inline
renamed eagerly to aseagersingleton git svn id guice googlecode com svn trunk d f a b b b d aecad e,rename
from wonder bunch of fixes cleanups etc to stream utils including nio based file copying,extract
her bloomfilter bit bit length bug prevents full bitfield from being used premature saturation bloomfilter bit java include the split to subarrays for larger bitfields and round up to power of for performance options previously in largely redundant classes fit a number of problems with int long overflow and bitwise ops add methods for reporting testing bloomfilter java add methods for reporting testing bloomfiltertest java bloomfilter bittest java more extensive tests including two lengthy tests of default oversized blooms usually disabled by renaming bloomfilter bit java bloomfilter bitsplit java bloomfilter bp java bloomfilter bp split java deleted as buggy or redundant benchmarkblooms java move to test source dir bloomuriuniqfilter java change to accept filter instance rather than parameters for added configuration flexibility fix comments bloomuriuniqfiltertest java supply filter not paramters,move
refactored statistics recording api,move
rremoved invariants,inline
renamed column to be more sql friendly,rename
jsdk as a sdk user i would like to avoid double posting manual journal entries via api added new public method supporting posting of gl journal entries with transactionid,extract
moved regenerate and made it static,push down
renamed constants to follow java standards removed catch exception block git svn id f bb ffa edef ,rename
rework surface generators the biggest change is that they are now run during terrain generation instead of population previously the surfaceblock groundblock would be generated by chunkprovidertc and then overwritten by the surfacegenerator during terrain population now the surfacegenerator is responsible for generating surfaceblock groundblock nullsurfacegenerator is now called simplesurfacegenerator as it now generates surfaceblock groundblock and the old simplesurfacegenerator is now called multiplelayerssurfacegenerator generatingchunk has been added as an object to hold various data about a chunk being generated chunkprovidertc still uses its temporary class fields i hope to refactor this class in the future to use generatingchunk everywhere,push down
modularize query execution and add complete v protocol support removes jdbc jdk support oliver jowett,inline
add prettyprint with indent option,extract
rename method from getactionid to getactiontype on groomserveraction git svn id f bb ffa edef ,rename
shift further method to parent,pull up
libmanager now able to load in lgl and lib files added loadfile method to delegate and store in list added loadlgl method for lgl workhorse renamed loadlibfile to loadlib for lib workhorse notice mask is statically imported from gmstreamdecoder default libs in lgl format included in resources library lib consider location not loaded in yet timelineframe still doesn t know location updated libaction merged execcode and execfunction into execinfo since you can t have both at the same time added updated methods to gmstreamdecoder read now handles errors byte read and read for and byte integers readi renamed to read readstr for byte preceded strings instead of mask for easier bit masking statically imported in libmanager updated references in gm file git svn id f f bc e be cd ,rename
 preparing moved the lightweight meta objects related methods to the dbserver,move
more refactoring mainly pushing more stuff out of md java and into the clients this may end up getting pushed back in again but i think it s the right thing to do for now git svn id baf d a c fc e d,push down
jbide remove refresh of all ienvironmentvariable on add remove actions please reference the following change log removed update calls from environmentvariableresource destroy applicationresource addenvironmentvariable applicationresource addenvironmentvariables and applicationresource removeenvironmentvariable added applicationresource removeenvironmentvariable ienvironmentvariable renamed environmentvariablebyname to environmentvariablemap updated getorloadenvironmentvariable to work check for emptiness of environmentvariablemap updated loadenvironmentvariables to work on environmentvariablesmap and return it in contrast to a locally scoped version that did not persist corrected test failures due to omitted changes to instances methods for environmentvariableresouce and applicationresource updated remove methods to use remove ienvironmentvariable and applicationresourceintegrationtest to use application removeenvironmentvariable ienvironmentvariable in testing added integration test for removeenvironmentvariable ienvironmentvariable updated applicationresource addenvironmentvariables map to filter the incoming map key value pairs if they are duplicate keys without different values this update should resolve unecessary update dto requests being generated rebased up to nov since the original pr got behind corrected possible logical error that was accidentally included in addenvinronmentvariables map with the original pr if testvar null else rebased again to support merge with most recent version of upstream master nov corrected applicationresource removeenvironmentvariablebyinstance ienvironmentvariable and applicationresource removeenvironmentvariable string to correct failing test s,rename
simplify test framework some tests were incorrectly setup,inline
rework thetvdbprovider into smaller methods break up the jumbo methods in thetvdbprovider into more manageable chunks add a utility class for generic xpath parsing add a utility function in stringutils for turning a string into an integer move some constants into constants java and be more prepared to work in a language that s not english add an ability to prefer regular episode numbers to the dvd numbers though it s not used yet re use objects when it s safe to do so improve error messages have method signatures prefer interfaces list to implementations arraylist add a comment to constants java,extract
extract some methods in doiserviceimpl,extract
changed tests to use the modified channeltestbase,inline
refactored mod chests inventories compatibility,push down
extracted a method to parse the comment contents,extract
df qcadoomes changed locales,push down
added collectiontable implementation,extract
prevent adding an archiveentry with same name twice to an changeset git svn id f bb ffa edef ,extract
o extracted a couple of other small classes from the booter cleaned up on a few other minor style wise irritations that were left over from the larger refactoring in previous commit git svn id f bb ffa edef ,inline
retire monolithic clienttest vreak out into smaller individual tests move some tests under service,move
mouse and keyboard behavior of views can be changed you can now change the mouse and shortcut managers for views with your own implementations the old mousemanger and shortcutmanager classes are now interfaces and a defaultmousemanager and defaultshortcutmanager have been added,push down
bugfix line wise visual mode behaviour on empty lines during motions when selectiong empty line moved code that finds lines containing positions to static method startndtextrange lines,move
simplify roadmerger add static to methods were possible move evaluation of routeflags to convertedway rename element getentrysetiterator element gettagentryiterator git svn id d f ee a dfeeeb ,rename
jenkins add new selectors for perforce and p plugins that allow to update jira issues based on jobs associated with changes other changes refactor selectors break down methods in defaultissuesselector so that it is easier to reuse side effect is that defaultissueselector now will be fully recursive once the other problems are fixed fix resources defaultupdaterissueselector config jelly selectors defaultissueselector config jelly,inline
push crawluri and related constants down to modules subproject package many,push down
improve javadoc remove empty tags add new addanimation method,inline
rename methods,rename
rest of the views added,extract
rename charsequence variant of jsonstringencoder quoteasstring,rename
merge mapred branch to trunk remove it git svn id f bb ffa edef ,pull up
cut overall object instantiation in half by changing fileheader generation algorithm for a percent performanceimprovement when archive contains lots of small files also extracted two private methods createlocalfileheaderand createcentralfileheader in ziparchiveoutputstream these may have some interesting additional usages in the near future this is basically a tactical refactoring scatter gather had awonderful performance in the scatter algorithm but spentan equal amount of time in the gather phasegit svn id f bb ffa edef ,extract
previously migrations would migrate a sequence of models to their latest versions in order however if you are crossing a series of versions it s possible your migrations actually have intra model version dependencies for instance if app eomodeld depends on authentication eomodeld you can t just blindly migrate authentication to the latest version followed by migrating app to the latest version it s possible you may have to auth app auth app this change introduces the ability for a migration to return a version dependency for another model previously dependent models were not automatically migrated either this can potentially cause strange problems not dependencies are traversed so that by the end of the migration process for model a a and all of its reachable dependent models will be upgraded to their latest versions if you are migrating to a specific version then dependent models can not automatically be upgraded to any version other than what your migrations specify in their dependencies,inline
refactoring to make nexusurl non needed there was a mess this change should clean it up a bit out of strategies we have deferred and direct strategies does not tamper with rest they should be able to work without specified nexusurl in plugin configuration on the other hand the image and staging strategies do use rest former to close and latter fully uses the v rest api of staging now class hierarchy is cleaned up too non client users extend abstractdeploystrategy while client users extend abstractstagingdeploystrategy,push down
introduce field level metadata changes include added metadata immutable and metadatabuilder to api opted to make these concrete objects which the other builders are in fact not record extended with metadata get set methods read write path support for metadata for fields without metadata storage format stays the same bits of the prefix byte are used to indicate the metadata serialization version and at the same time the prescence of metadata no metadata see new class fieldflags were it s documented metadata not supported for versioned mutable fields matter of saving implementation time on something that probably has little value read always decodes the metadata if this would be a problem we can make loading metadata optional and or do the decoding lazily added metadata to binary record serialization which goes over avro bumped serialization version number,extract
refactored kernels and added constraint rules,pull up
create per project cert key use to fetch metrics move zk to more standardized approach,move
refactored base class for calculations moving some functionality into kenyacore,move
fix issue in enterhandler and refactor actionhandler tests fix an issue where if the caret is at the end of the file and the user presses enter after an open block tag we error trying to find a close block tag past the end of the file also added testing around this functionality while adding testing around this refactor tests to make it easier to write action handler tests,pull up
block option for servers both block options for endpoints bugfix for empty option as last message component and some code cleanup,pull up
cleanup and fix several issues abstracted resnode from a defaultnode that can be used with other tree models added contitional checking for if resources were changed whenver you close a frame it will check for changes and store that in the resource the global check for changes method will iterate all open frames and all resources in the resource map asking if they have changes number two led me back to the issue for wrong refernces to game info settings after load i have identified the cause and applied a temporary patch added the foundation for searching in resources and also placed the event panel in a tab in this area what s interesting is that i have noticed that if the toolbar for it is set floatable and you float it out it will take the tab with it and it can still be redocked this possibly menas a raw docking framework could be built from jtoolbar,pull up
integrated nrepl add new repl view refactoring of editor source viewer simplified launch process,extract
some refactoring on userprofile and attributesdefinition,push down
renamed feeds to sources for historic queries,rename
modified framesmanager to allow the registration of the annotationhandler defined an annotationhandler for each of the default annotation refactored framedelement framedvertex and framededge all the logic is now in framedelement so the classes framedvertex and framededge have been removed added classutils with the utility methods used in framedelement all the tests passed,pull up
move io simulation ot its own class,inline
moved mouse over related code to subclass mouseovermousemanager of class defaultmousemanager so that it can be used optionally,push down
add mojosupport to sort out the common setup exception handling cleanup muck refactor mojologger so that we can make this a final field reference,pull up
moved webenvironment up a package as it will be used by other tests added javadoc hg rename src test java com opensymphony sitemesh webapp contentfilter webenvironment java src test java com opensymphony sitemesh webapp webenvironment java,rename
refactored some date to jdk time methods out of sqlbasedao added preliminary law processor code optimized imports,inline
changing around selector behavior,inline
refactoring,push down
hama refactor graph package git svn id f bb ffa edef ,extract
rename all the things,rename
extracting system classloader inits to preclassloaderinitiator plugins ,extract
documentation and refactoring,extract
java moving rules into correct packages according to the new category part,move
test rename,rename
many elements moved to new mockito style,move
compress remove trivial factory method,inline
moved getnthfunctionnodeindex and getnthterminalnodeindex methods from kozacrossover to the more general location on node to fix ,inline
add a j presponseextractor for hooking into java client deserialization fixes ,extract
pdm refactored podamfactory to be an instantiable class added spring usage example and improved documentation,push down
renamed graphsonfactory to graphsonutility and renamed methods for better consistency,rename
refactor jsr api to use new libusb api as backend,pull up
reduced number of listfiles intended to make listing faste,inline
fixed rfc proxies have now separate parsing and serialization,push down
refactoring getmenuspace in navigation extract isemptymainmenu querymethod,extract
perform some better caching around compiled basic non basic codeblocks refactor the lookup or use bytecode generation to a basecompilableblockstatement superclass move code storage to a codestorage manager with entry to hold both codeblock and the resulting compiled object,inline
refactored classcachemgr to make a leaner more readable class and prevent bloat and make parallel work a bit easier,move
introduced randomdataproviderstrategy interface as extension to dataproviderstrategy and pulled up few methods in abstractrandomdataproviderstrategy to this new interface,push down
renamed methods,rename
rename to packstringwithgetbytes and add comments,rename
refactor,move
weakened emodulemanager s assumptions about the emodules it s managing among other things all reflection has been moved out of emodulemanager this has been done in preparation to mixed mode execution i e having an interpreter,move
renames,rename
switchyard remove camelmessagecomposer from implementation camel this commit contains shared code which should be placed in core and it s being used by camel exchange bus,pull up
minor renaming of code that didn t get renamed when accessright was renamed,rename
reorganisation of controllers codes bookingroomcontroller now uses bookroomcommand addbookingroomviewparamscontroller uses static methods from bookroomcommand fixed little bug in jsp working fine on tomcat git svn id database trunk a f c aaa da e aacc d ,extract
added support for extracting json objects and arrays from request bodies via helpers,extract
minor refactoring to further strip down api of tokenstreamfactory,push down
rename method,rename
testinfodto was expanded with endtime and moved to fetchutil,move
refactor of xmppchatclient for generality and simplicity,extract
changed phase four to add orthology information moved existing phase four kam building to phase five phase four now merges in relevant orthologous relationships,move
move groovy stuff in a special class to make it reusable,pull up
faces develop alloy outputscript component faces remove compile time dependency on portal service jar from liferay faces alloy moved liferayportletutil java and liferaythemedisplayutil java to util jar and modified them to avoid using reflection,inline
eliminated some dupe code minor code cleanup,pull up
added bytearraydatainputstream implementing datainput and bytearraydataoutputstream implementing dataoutput both read and write directly from to byte buffers added methods in bits which encode decode various types not yet done removed unused methods from util moved some methods from util bits added limit to bytearraydatainputstream replaced exposedxxx classes for sending and receiving of messages with bytearraydata input output stream classes removed the exposedxxx classes replaced exposedxxx classes with bytearraydata input output stream equivalents,move
remove unnecessary lines sorry,inline
implemented some tabs in gamesettingframe fixed loading of resources from jar added event replace colorselect basic colour choose panel indexbuttongroup made it possible to have decimal indexed groups rather than bitwise added basic actionlistener functionality listener added a line to the save as code to commit the changes of lgm gameset if it is open gm file corrected default icon code to work from within a jar changed coloroutsideroom to color rather than int gm filereader writer modified to read write coloroutsideroom correctly gmstreamdecoder added some alternate constructors gmstreamencoder added some alternate constructors renamed writei to write added write and writestr functions prefs added string defaultlibs for use when in a jar dynamic detection is planned for util modified getvalidimage to display error messages so that the method doesn t throw exceptions moved the adddim method to here and removed the convenience version to make it thread safe constant overrode equals and hashcode hashcode is just because of checkstyle made comparable for sorting added a copy function libmanager corrected autoload to work from within a jar backgroundframe modified to use the new version of adddim removed try catch in image loading code eventframe modified to use the new version of adddim small correction to linked frame selector frame is now selected as well as being put on top gamesettingframe implemented resolution loading and constants tabs all fully functional modified other tab to use indexbuttongroup modified graphics tab added scale factor field changed the background colour selector to a colorselect component gmobjectframe implemented dnd event replacing resourceframe removed the adddim method spriteframe modified to use the new version of adddim removed try catch in image loading code timelineframe made frame icon final checkstyle xml changed to ignore lines with trailing line comments git svn id f f bc e be cd ,move
added support for removing cursors some ui related fixes row labels were not always directly shown and scrolled sometimes first approach for rainbow colors on channels cleanups,extract
 renamed accessmodifier to accessrestriction,rename
added jsonname jsonroottype annotations updated tests and model to account for annotation changes in main isolated assignments that were doubling as conditionals git svn id c b a b b d e ,inline
refactored pdproadmodel system,push down
major refactoring for propertydescriptors changes include genericization of propertydesciptors which facilitates the dry principle split multi valued propertydesciptors into separate classes to take full advantage of generics remove simple string property accessors from the rule interface only propertydescriptor are supported now properties are defined via rule definepropertydescriptor propertydescriptor interface normally called in a constructors ruleset xml enhanced to support propertydescriptor defining rulesetfactory and rulesetwriter account for the more robust property definitions all ruleset xmls corrected to move definitions to java classes where needed and to including necessary type information where missing git svn id baf d a c fc e d,pull up
lib rename issuer issuerofpatientid to issuer fromissuerofpatientid,rename
move testdelayedflush up since it works in binary now,pull up
added tests for load balancer validation added a node validator and refactored for new validation structure,push down
rename mutator superdelete to mutator subdelete to be consistent with the rest of the api,rename
implemented dynamic class loading in unit tests rhino by forking between rhino and browser code in standardclassloader loadscript renamed jooruntimetestcase loadclass into import which simply calls joo classloader import which in turn will end up in standardclassloader loadscript calling jooruntimetestcase global joo loadscript now the testcatch test also works wihtout loading all the dependant classes git p depot paths coremedia jangaroo change ,rename
bug fixes for pushing down predicates,push down
refactored out some common code,pull up
added support for extracting json objects and arrays from request bodies via helpers,extract
major refactor to start process of eventually moving content manager classes into separate module for now they are moved to a different subpackage but remain in the kenyaemr module until all dependencies on kenyaemr are removed,move
few fixes and native sources updated to ,push down
removing com apple eawt package import no idea where that came from,pull up
another minor change nothing important happened,inline
refactor the auction loading code to not construct a new auctioninfo object every time,move
added support for postfix expressions albeit via the statementexpression node git svn id baf d a c fc e d,extract
reduced number of listfiles intended to make listing faste,inline
renamed a method,rename
jbide added tests for embeddedcartridgeresource geturl,extract
observer observable pattern for ui view interfaces moveable and moveablecontainer refactoring mega commit due to problems with remote branching,pull up
reorganize abstract processor methods put some functions specific to bill processing in abstractbillprocessor and make all bill processors inherit that class,push down
refactored remaining usages of fees and taxes to use transaction units issue ,pull up
more stuff moved from defaultdifferenceengine to diff,move
split opentsdbwriter and merge kieren hynd s tcollectorudpwriter into the class hierarchy to ensure consistent handling of tags settings and more also applied checks for numeric values and cleanup of quotes and other special characters to both writers,pull up
removing property duplication methodproperty and fieldproperty have a common superclass but had duplicated code between them this commit reduces that duplication and pushes common code into the superclass while at the same time adding some additional tests for the functionality,pull up
faces add general utilities for liferay faces alloy components refactored regenerated components added module attribute to yui components faces develop alloy button alloy commandbutton and alloy icon component refactored regenerated alloy button alloy commandbutton and alloy icon component faces develop alloy field component regenerated alloy field faces develop alloy fieldset component refactored regenerated alloy fieldset faces develop alloy row and alloy column components regenerated alloy row and alloy column faces develop alloy datatable and alloy panelgrid components regenerated alloy panelgrid faces develop alloy message and alloy messages components regenerated alloy messages and alloy message,pull up
improve javadoc remove empty tags add new addanimation method,extract
pmcachecfg moved deprecated code to separate classes,move
reorganise imports in java and cleaned artifacts versioning to parent pom,pull up
code cleanup and method renames renaming boolean get to is renaming getseller to getsellername to better represent what it s actually doing removing unused imports,rename
 expose global settings xml in m e preferences change id id badd ca f ed b cf c e e signed off by igor fedorenko,inline
move sharedloglogic specific getcheckedoperations from superclass move operation resolving to abstractloglogic,push down
backlog using isempty instead of null for several string properties removing auto levels when creating a measure for the same column correcting summary message when hierarchy is empty,pull up
extract some methods from abstractpipe path needed this to override getpathtohere in pacer plus it cleans up the method a bit i think,extract
fixed how we handle looting lots of refactoring,pull up
created a superclass basecontainerblock for all the things shared between chests and furnaces which is pretty much everything also fixed a small typo in sign tostring had one d too many and removed a few function duplicates i had missed,pull up
ets fixes based on test suite make heir option work implement ets setopts order elements of bag like beam does it fix epattern ematchspec to sort n variables and allow that n values are not contiguous from x fix pattern match spec so that works move ets info and ets info impl into etable class implement ets match for bag duplicate bag,move
remove automatic updating instead a notice will be printed in the console,inline
refactor code put current distro manager into default plugin,extract
rename webbeans weld,rename
refactor codegenerator to facilitate the addition of backend jvstm common,extract
rename the round robin selection of the name server to rotateservers,rename
move attribute bigendian from attributes to group,inline
xslt space normalization also a bunch of refactorings so all requests for xslt templates go thru the factory added a flag to the tag extractor to allow it to function in normalized spaces mode and non normalized mode to switch back to non normalized spaces change the constant template file in the factory and switch the normalize flag to false in th transformer,extract
removed duplicate customparams for tiledwms layer,push down
rename androidrelayconfiguration messagebufferconfiguration and paraemterize it in the example,rename
her make extractors interrogate for charset replaycharsequence genericreplaycharsequence use charset instance rather than string name recorder use charset instance ratehr than string name getcontentreplaycharsequence avoid reusing cached replaycharsequence when encoding in use has changed since it was created getcontentreplayprefixstring allow requested specific charset interpretation extractorhtml extractorxml work with charset instances double check that in content declarations are self consistent before using recycle matcher instances change minor charset problems decisions to a crawl log annotation,inline
renamed tunnel connection property to jumpstation fixed overthereonwindowsitest by opening the tunnels in beforeclass and closing them in afterclass,rename
rename stuff more appropriately,rename
qcadoomes code refactor in cell binder functionality added support for parsing localized decimals,pull up
introduce a cleaner lower level api with the console interface it provides a signal api access to the underlying terminal capabilities and stty settings it also brings support for virtual consoles when using remote connections for example its not much leveraged in the remaining of the code things like cursor movements etc should leverage this information the aeshinputstream hacks for transforming windows arrow keys can be just removed and it should also be noted that the aeshinputstream does not correctly handle the encoding of the input stream and assumes the default charset which is always not the case especially on windows the only external dependency on those new packages api impl utils is the loggerutil class this means that this can easily be extracted as the very low component,move
 basically reverting changes made for with a fix for handling super bounds in jdk failed after wrapping types in typesdecorator moved most of the logic of types gettypebounds to typefactory,move
renamed getec hostname to getec hostaddress,rename
moved common code between cascading merging daos to an abstract class git svn id directory trunk f dbab f eb b e eb,pull up
added static setter methods for the plugin,extract
faces move portlet bridge specific resource handling logic from resourcehandlerwrapperbase to resourcehandlerbridgeimpl,push down
move the handshake method to serverhandlewithwebsockets,push down
frame parameters tests set up changed buffer refactored a bit removed my notimplementedexception,extract
removing interface on seam component pnly use interfaces when they actually bring something useful not just boilerplate code,pull up
tidy up remove interface simulationinput,pull up
rename tests git svn id f bb ffa edef ,rename
refactored and moved some tests,move
 refactoring primary execute method in caching mostly method extraction git svn id f bb ffa edef ,extract
renamed execute methods added executeupdate method added transaction handling,rename
rename transaction to disputedtransaction,rename
change api method getwikidefaultdocref to only need depcellspacesuffix parameter,inline
nxp rename entity to activityobject,rename
completed method type property descriptors and refactored them under a common class that can filter by optional package prefixes matching test cases for same updated typemap to catch errors new test cases updated classutil with new functionality for the new descriptors and restored lost indentation formatting git svn id baf d a c fc e d,pull up
moved more io collection and other library classes to mlcllib,inline
latency measurements added for stormdsttuplestorage with and without bdb,extract
merged revisions via svnmerge from r steve fri nov line allow any charset as a target r steve sat nov line allow for making upper casing optional r steve sun nov lines make all the transliteration for the acsii only mode to be table driven r steve sun nov lines added missing blank character translit maps r steve sun nov lines build changes needed for character tables r steve tue nov lines russian transliteration provided by user liosha git svn id d f ee a dfeeeb ,extract
extracted a very unecessary dependency on java util uri this is probably the bigest change ever refactored on the system the uri class was nested deep into the system for no real reason it was assumed that all backends would have a uri scheme and that we keep the uri at all times on all buckets this was not the case and everything from the bucket model to the pathresolver had to be refactored the change was made in the first place because glacier does not have a uri that we can just call instead we want to configure each backend with key values instead of with uri s this change to the system should also make it easier to transition into a key value store since the abstraction for transfering buckets is give this bucket this key and when i give you the key again then give me back my bucket,push down
change the implementation concurrency to synchronize on this instead of the lazy connection,inline
redis support various improvements changed artifact dependency scopes rename various fields methods from memcached to storage use clq instead of list synchronization in jedispool close redis client on jedisconnectionexception exception get rid of memcachedclient references so that spymemcached does not have to be in the classpath when redis is used,rename
rework dynarray to follow the defineownproperty and other aspects of the spec,inline
attached is a patch that does the following improves performance of commit rollback by reducing number of round trips to the server uses functionality for setting the transaction isolation level backs out a patch from days ago because that code failed to compile under jdk details the old code was doing the following for each commit commit begin set transaction isolation level xxx thus a call to commit was performing three round trips to the database the new code does this in one round trip as commit begin set transaction isolation level xxx in a simple test program that performs transactions where each transaction does one simple select inside that transaction has the following before and after timings client and server on same machine old new sec sec improvement client and server on different machines old new sec sec improvement all timings are an average of four different runs the driver was using set transaction isolation level xxx at the begining of each transaction instead of using the new syntax of set session characteristics as transaction isolation level xxx which only needs to be done once instead of for each transaction this is done conditionally i e if server is or older do the old behaviour else do the new behaviour to not break backward compatibility this also required the movement of some code to check test database version numbers from the databasemetadata object to the connection object finally while testing i discovered that the code that was checked in days ago actually didn t compile the code in the patch for connection setcatalog used properties setproperty which only exists in jdk or higher thus compiling the jdbc driver failed as this method doesn t exist thus i backed out that patch barry lind,move
move hashcode to content,pull up
add unit tests,extract
nobug add compilation argument import support for mfcu option enh during compilation argument import add support for executing the commands being intercepted by the compiler wrappers sometimes a compilation failure causes the entire process to terminate early,extract
